,Tx,Tx_err,rad,rad_width
0,4.09,0.126,23.011,23.011
1,3.966,0.164,57.528,11.506
2,4.741,0.27,80.54,11.506
3,4.313,0.257,103.551,11.506
4,4.366,0.276,126.562,11.506
5,4.447,0.353,149.573,11.506
6,5.545,0.433,184.09,23.011
7,4.414,0.307,230.113,23.011
8,4.035,0.308,276.136,23.011
9,3.463,0.321,322.158,23.011
10,3.128,0.285,368.181,23.011
11,2.958,0.304,414.203,23.011
12,2.768,0.314,471.732,34.517
13,3.208,0.558,552.271,46.023
14,5.231,1.529,644.316,46.023
15,2.576,0.409,736.361,46.023
16,2.86,1.144,862.923,80.54
