LoVoCCSID,icm_wlmass_sep
1,192.848
2,20.298
5,45.406
7,78.229
9,85.772
10,78.127
11,566.952
12,171.527
13,182.937
14,92.817
15,74.928
18,115.824
21,89.081
22,47.015
24,502.867
26,154.458
27,107.642
28,136.171
29,52.516
30,96.274
31,111.606
35,192.12
39,319.858
41A,879.368
41B,
42,67.121
45,392.555
46A,130.49
46B,
46C,
48A,1.787
48B,
49,53.789
51,295.955
58,156.199
60A,133.333
60B,
61,167.552
63,105.747
65,197.998
66A,49.762
66B,
67,157.013
74,79.911
75,373.867
76,
80,3.9
85,88.791
89,100.057
90,
93A,716.244
93B,
94,91.334
98,97.404
99,28.624
119,41.209
121,473.627
123,897.889
131,47.288
134,
